,PST,Measured Qubits,Hop Count
47,0.5927734375,"(12, 13, 14)",0
48,0.556640625,"(12, 13, 14)",0
49,0.5791015625,"(12, 13, 14)",0
50,0.580078125,"(12, 13, 14)",0
51,0.56640625,"(12, 13, 14)",0
52,0.6083984375,"(12, 13, 14)",0
53,0.5634765625,"(12, 13, 14)",0
54,0.564453125,"(12, 13, 14)",0
55,0.591796875,"(12, 13, 14)",0
56,0.55859375,"(12, 13, 14)",0
57,0.5654296875,"(12, 13, 14)",0
58,0.587890625,"(12, 13, 14)",0
59,0.560546875,"(12, 13, 14)",0
60,0.5634765625,"(12, 13, 14)",0
61,0.6044921875,"(12, 13, 14)",0
62,0.5908203125,"(12, 13, 14)",0
63,0.59375,"(12, 13, 14)",0
64,0.583984375,"(12, 13, 14)",0
65,0.5859375,"(12, 13, 14)",0
66,0.5615234375,"(12, 13, 14)",0
67,0.5810546875,"(12, 13, 14)",0
68,0.587890625,"(12, 13, 14)",0
69,0.5751953125,"(12, 13, 14)",0
70,0.580078125,"(12, 13, 14)",0
71,0.568359375,"(12, 13, 14)",0
72,0.5888671875,"(12, 13, 14)",0
73,0.580078125,"(12, 13, 14)",0
74,0.5810546875,"(12, 13, 14)",0
75,0.5888671875,"(12, 13, 14)",0
76,0.5830078125,"(12, 13, 14)",0
77,0.5546875,"(12, 13, 14)",0
78,0.578125,"(12, 13, 14)",0
79,0.5830078125,"(12, 13, 14)",0
80,0.5810546875,"(12, 13, 14)",0
81,0.568359375,"(12, 13, 14)",0
82,0.57421875,"(12, 13, 14)",0
83,0.5908203125,"(12, 13, 14)",0
84,0.626953125,"(12, 13, 14)",0
85,0.607421875,"(12, 13, 14)",0
86,0.5810546875,"(12, 13, 14)",0
87,0.57421875,"(12, 13, 14)",0
88,0.5703125,"(12, 13, 14)",0
89,0.56640625,"(12, 13, 14)",0
90,0.6162109375,"(12, 13, 14)",0
91,0.5537109375,"(12, 13, 14)",0
92,0.59375,"(12, 13, 14)",0
93,0.5244140625,"(12, 13, 14)",0
94,0.576171875,"(12, 13, 14)",0
95,0.5732421875,"(12, 13, 14)",0
96,0.564453125,"(12, 13, 14)",0
97,0.578125,"(12, 13, 14)",0
98,0.6064453125,"(12, 13, 14)",0
99,0.5595703125,"(12, 13, 14)",0
0,0.521484375,"(12, 13, 14)",1
1,0.5185546875,"(12, 13, 14)",1
2,0.521484375,"(12, 13, 14)",1
3,0.515625,"(12, 13, 14)",1
4,0.5205078125,"(12, 13, 14)",1
5,0.5205078125,"(12, 13, 14)",1
6,0.5400390625,"(12, 13, 14)",1
7,0.5107421875,"(12, 13, 14)",1
8,0.5322265625,"(12, 13, 14)",1
9,0.4716796875,"(12, 13, 14)",1
10,0.52734375,"(12, 13, 14)",1
11,0.517578125,"(12, 13, 14)",1
12,0.53125,"(12, 13, 14)",1
13,0.5263671875,"(12, 13, 14)",1
14,0.51953125,"(12, 13, 14)",1
15,0.509765625,"(12, 13, 14)",1
16,0.5244140625,"(12, 13, 14)",1
17,0.505859375,"(12, 13, 14)",1
18,0.5166015625,"(12, 13, 14)",1
19,0.5078125,"(12, 13, 14)",1
20,0.5302734375,"(12, 13, 14)",1
21,0.5087890625,"(12, 13, 14)",1
22,0.529296875,"(12, 13, 14)",1
23,0.5029296875,"(12, 13, 14)",1
24,0.5087890625,"(12, 13, 14)",1
25,0.55078125,"(12, 13, 14)",1
26,0.5146484375,"(12, 13, 14)",1
27,0.5166015625,"(12, 13, 14)",1
28,0.5048828125,"(12, 13, 14)",1
29,0.5263671875,"(12, 13, 14)",1
30,0.5400390625,"(12, 13, 14)",1
31,0.5068359375,"(12, 13, 14)",1
32,0.5146484375,"(12, 13, 14)",1
33,0.5224609375,"(12, 13, 14)",1
34,0.5302734375,"(12, 13, 14)",1
35,0.521484375,"(12, 13, 14)",1
36,0.5166015625,"(12, 13, 14)",1
37,0.5361328125,"(12, 13, 14)",1
38,0.5244140625,"(12, 13, 14)",1
39,0.51171875,"(12, 13, 14)",1
40,0.482421875,"(12, 13, 14)",1
41,0.5029296875,"(12, 13, 14)",1
42,0.53515625,"(12, 13, 14)",1
43,0.533203125,"(12, 13, 14)",1
44,0.5146484375,"(12, 13, 14)",1
45,0.50390625,"(12, 13, 14)",1
46,0.509765625,"(12, 13, 14)",1
47,0.5087890625,"(12, 13, 14)",1
48,0.4990234375,"(12, 13, 14)",1
49,0.4814453125,"(12, 13, 14)",1
50,0.521484375,"(12, 13, 14)",1
51,0.5068359375,"(12, 13, 14)",1
52,0.5166015625,"(12, 13, 14)",1
53,0.49609375,"(12, 13, 14)",1
54,0.5263671875,"(12, 13, 14)",1
55,0.5234375,"(12, 13, 14)",1
56,0.4873046875,"(12, 13, 14)",1
57,0.490234375,"(12, 13, 14)",1
58,0.5068359375,"(12, 13, 14)",1
59,0.505859375,"(12, 13, 14)",1
60,0.486328125,"(12, 13, 14)",1
61,0.5126953125,"(12, 13, 14)",1
62,0.521484375,"(12, 13, 14)",1
63,0.5048828125,"(12, 13, 14)",1
