,PST,Measured Qubits,Hop Count
97,0.625,"(4, 11, 17)",0
98,0.6474609375,"(4, 11, 17)",0
99,0.6240234375,"(4, 11, 17)",0
0,0.5224609375,"(4, 11, 17)",1
1,0.5458984375,"(4, 11, 17)",1
2,0.53125,"(4, 11, 17)",1
3,0.5234375,"(4, 11, 17)",1
4,0.533203125,"(4, 11, 17)",1
5,0.505859375,"(4, 11, 17)",1
6,0.525390625,"(4, 11, 17)",1
7,0.5498046875,"(4, 11, 17)",1
8,0.541015625,"(4, 11, 17)",1
9,0.5576171875,"(4, 11, 17)",1
10,0.51171875,"(4, 11, 17)",1
11,0.552734375,"(4, 11, 17)",1
12,0.5,"(4, 11, 17)",1
13,0.52734375,"(4, 11, 17)",1
14,0.54296875,"(4, 11, 17)",1
15,0.515625,"(4, 11, 17)",1
16,0.5263671875,"(4, 11, 17)",1
17,0.5234375,"(4, 11, 17)",1
18,0.521484375,"(4, 11, 17)",1
19,0.5322265625,"(4, 11, 17)",1
20,0.5595703125,"(4, 11, 17)",1
21,0.509765625,"(4, 11, 17)",1
22,0.5478515625,"(4, 11, 17)",1
23,0.51171875,"(4, 11, 17)",1
24,0.54296875,"(4, 11, 17)",1
25,0.53125,"(4, 11, 17)",1
26,0.5498046875,"(4, 11, 17)",1
27,0.5400390625,"(4, 11, 17)",1
28,0.5546875,"(4, 11, 17)",1
29,0.494140625,"(4, 11, 17)",1
30,0.5244140625,"(4, 11, 17)",1
31,0.552734375,"(4, 11, 17)",1
32,0.5185546875,"(4, 11, 17)",1
33,0.515625,"(4, 11, 17)",1
34,0.5322265625,"(4, 11, 17)",1
35,0.5234375,"(4, 11, 17)",1
36,0.5361328125,"(4, 11, 17)",1
37,0.5546875,"(4, 11, 17)",1
38,0.5517578125,"(4, 11, 17)",1
39,0.537109375,"(4, 11, 17)",1
40,0.5419921875,"(4, 11, 17)",1
41,0.5205078125,"(4, 11, 17)",1
42,0.5400390625,"(4, 11, 17)",1
43,0.533203125,"(4, 11, 17)",1
44,0.5390625,"(4, 11, 17)",1
45,0.5302734375,"(4, 11, 17)",1
46,0.5419921875,"(4, 11, 17)",1
47,0.525390625,"(4, 11, 17)",1
48,0.5146484375,"(4, 11, 17)",1
